Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H1,1.0,1.2530977920000002,FAUC,2.88,52.193,2.22,2.22,0.5,1.44,1.8044608204800001
1H1,1.0,3.9159306,FAUC,1.228,52.193,5.97,5.97,0.5,0.614,2.4043813884
1H1,1.0,0.15663722400000002,FAUC,0.922,52.193,6.22,6.22,0.5,0.461,0.07220976026400001
1H1,1.0,1.723009464,FAUC,3.482,52.193,6.95,6.95,0.5,1.741,2.9997594768240003
1H1,1.0,0.469911672,FAUC,1.7280000000000002,52.193,6.96,6.96,0.5,0.8640000000000001,0.40600368460800007
1H1,1.0,2.0362839120000005,FAUC,2.22,52.193,6.99,6.99,0.5,1.11,2.2602751423200007
1H1,1.0,1.723009464,FAUC,3.367,52.193,7.29,7.29,0.5,1.6835,2.900686432644
1H1,1.0,2.1929211360000003,FAUC,1.173,52.193,7.33,7.33,0.5,0.5865,1.2861482462640002
1H1,1.0,0.469911672,FAUC,0.8640000000000001,52.193,7.39,7.39,0.5,0.43200000000000005,0.20300184230400004
1H1,1.0,0.15663722400000002,FAUC,0.8640000000000001,52.193,7.45,7.45,0.5,0.43200000000000005,0.06766728076800002
1H1,1.0,1.096460568,FAUC,1.786,52.193,7.46,7.46,0.5,0.893,0.9791392872239999
1H1,1.0,0.31327444800000004,FAUC,1.7280000000000002,52.193,7.79,7.79,0.5,0.8640000000000001,0.2706691230720001
1H1,1.0,0.15663722400000002,FAUC,0.461,52.193,7.86,7.86,0.5,0.2305,0.03610488013200001
1H1,1.0,0.15663722400000002,FAUC,0.8640000000000001,52.193,7.89,7.89,0.5,0.43200000000000005,0.06766728076800002
1H1,1.0,0.31327444800000004,FAUC,1.296,52.193,7.9,7.9,0.5,0.648,0.20300184230400004
1H1,1.0,0.31327444800000004,FAUC,0.691,52.193,7.96,7.96,0.5,0.3455,0.108236321784
1H1,1.0,0.31327444800000004,FAUC,3.4560000000000004,52.193,7.97,7.97,0.5,1.7280000000000002,0.5413382461440002
1H1,1.0,1.879646688,FAUC,1.618,52.193,7.98,7.98,0.5,0.809,1.5206341705920001
1H1,1.0,0.6265488960000001,FAUC,1.6130000000000002,52.193,8.02,8.02,0.5,0.8065000000000001,0.5053116846240001
1H1,1.0,0.31327444800000004,FAUC,1.296,52.193,8.03,8.03,0.5,0.648,0.20300184230400004
1H1,1.0,0.469911672,FAUC,1.7280000000000002,52.193,8.06,8.06,0.5,0.8640000000000001,0.40600368460800007
1H1,1.0,0.31327444800000004,FAUC,0.662,52.193,8.19,8.19,0.5,0.331,0.10369384228800002
1H1,1.0,8.12,CWSH,1.391,52.193,8.31,8.31,0.22,0.30602,2.4848824
1H1,1.0,0.6265488960000001,FAUC,3.01,52.193,8.4,8.4,0.5,1.505,0.94295608848
1H1,1.0,1.096460568,FAUC,2.954,52.193,8.41,8.41,0.5,1.477,1.619472258936
1H1,1.0,0.6265488960000001,FAUC,1.7280000000000002,52.193,8.44,8.44,0.5,0.8640000000000001,0.5413382461440002
1H1,1.0,1.2530977920000002,FAUC,1.721,52.193,8.46,8.46,0.5,0.8605,1.078290650016
1H1,1.0,2.36901,CWSH,1.267,52.193,8.59,8.59,0.22,0.27874,0.6603378473999999
1H1,1.0,8.459010000000001,CWSH,1.346,52.193,8.62,8.62,0.22,0.29612,2.5048820412
1H1,1.0,0.7831861200000001,FAUC,2.5,52.193,8.98,8.98,0.5,1.25,0.9789826500000001
1H1,1.0,1.4097350160000002,FAUC,4.691,52.193,9.13,9.13,0.5,2.3455,3.3065334800280004
1H1,1.0,1.879646688,FAUC,2.338,52.193,9.25,9.25,0.5,1.169,2.197306978272
1H1,1.0,0.31327444800000004,FAUC,1.93,52.193,10.01,10.01,0.5,0.965,0.30230984232
1H1,1.0,0.469911672,FAUC,1.152,52.193,10.05,10.05,0.5,0.576,0.270669123072
1H1,1.0,0.31327444800000004,FAUC,1.296,52.193,10.2,10.2,0.5,0.648,0.20300184230400004
1H1,1.0,0.31327444800000004,FAUC,0.8640000000000001,52.193,10.67,10.67,0.5,0.43200000000000005,0.13533456153600004
1H1,1.0,0.15663722400000002,FAUC,0.8640000000000001,52.193,10.71,10.71,0.5,0.43200000000000005,0.06766728076800002
1H1,1.0,0.469911672,FAUC,0.5760000000000001,52.193,10.92,10.92,0.5,0.28800000000000003,0.13533456153600001
1H1,1.0,0.31327444800000004,FAUC,0.8640000000000001,52.193,11.01,11.01,0.5,0.43200000000000005,0.13533456153600004
1H1,1.0,0.31327444800000004,FAUC,1.094,52.193,11.02,11.02,0.5,0.547,0.17136112305600004
1H1,1.0,0.15663722400000002,FAUC,1.267,52.193,11.13,11.13,0.5,0.6335,0.099229681404
1H1,1.0,2.0362839120000005,FAUC,2.481,52.193,11.22,11.22,0.5,1.2405,2.5260101928360004
