Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H7,1.0,0.2169603045,FAUC,0.518,48.9095,6.92,6.92,0.5,0.259,0.0561927188655
1H7,1.0,1.0822031955,FAUC,1.521,48.9095,7.27,7.27,0.5,0.7605,0.82301553017775
1H7,1.0,0.2169603045,FAUC,0.34600000000000003,48.9095,7.91,7.91,0.5,0.17300000000000001,0.037534132678500004
1H7,1.0,3.4648690545000003,FAUC,1.577,48.9095,7.92,7.92,0.5,0.7885,2.73204924947325
1H7,1.0,0.2169603045,FAUC,0.922,48.9095,7.98,7.98,0.5,0.461,0.1000187003745
1H7,1.0,0.2169603045,FAUC,0.922,48.9095,7.98,7.98,0.5,0.461,0.1000187003745
1H7,1.0,0.2169603045,FAUC,0.634,48.9095,8.0,8.0,0.5,0.317,0.0687764165265
1H7,1.0,0.2169603045,FAUC,0.518,48.9095,8.02,8.02,0.5,0.259,0.0561927188655
1H7,1.0,0.2169603045,FAUC,0.979,48.9095,8.02,8.02,0.5,0.4895,0.10620206905275
1H7,1.0,0.4326214455,FAUC,0.7490000000000001,48.9095,8.07,8.07,0.5,0.37450000000000006,0.16201673133975
1H7,1.0,0.4326214455,FAUC,0.8059999999999999,48.9095,8.08,8.08,0.5,0.40299999999999997,0.17434644253649997
1H7,1.0,0.2169603045,FAUC,0.634,48.9095,8.27,8.27,0.5,0.317,0.0687764165265
1H7,1.0,2.5983270000000003,FAUC,0.461,48.9095,8.79,8.79,0.5,0.2305,0.5989143735000001
1H7,1.0,1.0822031955,FAUC,0.588,48.9095,8.83,8.83,0.5,0.294,0.318167739477
1H7,1.0,0.4326214455,FAUC,0.49,48.9095,8.87,8.87,0.5,0.245,0.10599225414749999
1H7,1.0,6.76599,CWSH,1.922,48.9095,9.37,9.37,0.22,0.42284,2.8609312116
1H7,1.0,9.810989999999999,CWSH,1.291,48.9095,9.72,9.72,0.22,0.28402,2.7865173797999994
1H7,1.0,0.4326214455,FAUC,0.72,48.9095,9.76,9.76,0.5,0.36,0.15574372037999998
1H7,1.0,0.6759899999999999,CWSH,37.95,48.9095,9.93,9.93,0.22,8.349,5.643840509999999
1H7,1.0,0.4326214455,FAUC,1.642,48.9095,9.94,9.94,0.5,0.821,0.35518220675549994
1H7,1.0,0.4326214455,FAUC,0.662,48.9095,9.97,9.97,0.5,0.331,0.1431976984605
1H7,1.0,0.2169603045,FAUC,0.979,48.9095,9.98,9.98,0.5,0.4895,0.10620206905275
1H7,1.0,8.12,CWSH,1.565,48.9095,10.11,10.11,0.22,0.3443,2.7957159999999996
1H7,1.0,0.4326214455,FAUC,0.7490000000000001,48.9095,10.21,10.21,0.5,0.37450000000000006,0.16201673133975
1H7,1.0,0.6759899999999999,CWSH,0.85,48.9095,10.45,10.45,0.22,0.187,0.12641012999999998
1H7,1.0,11.165,CWSH,1.11,48.9095,10.52,10.52,0.22,0.24420000000000003,2.726493
1H7,1.0,0.2169603045,FAUC,0.34600000000000003,48.9095,11.18,11.18,0.5,0.17300000000000001,0.037534132678500004
1H7,1.0,0.2169603045,FAUC,0.691,48.9095,14.06,14.06,0.5,0.3455,0.07495978520475
1H7,1.0,2.1657055544999997,FAUC,1.636,48.9095,14.08,14.08,0.5,0.818,1.7715471435809997
1H7,1.0,1.2991635,FAUC,0.902,48.9095,14.26,14.26,0.5,0.451,0.5859227385
1H7,1.0,1.5161238045000005,FAUC,1.621,48.9095,15.07,15.07,0.5,0.8105,1.2288183435472504
1H7,1.0,1.2991635,FAUC,1.354,48.9095,15.27,15.27,0.5,0.677,0.8795336895
1H7,1.0,0.4326214455,FAUC,1.642,48.9095,15.31,15.31,0.5,0.821,0.35518220675549994
1H7,1.0,0.6495817500000001,FAUC,0.979,48.9095,15.34,15.34,0.5,0.4895,0.31797026662500005
1H7,1.0,0.2169603045,FAUC,0.461,48.9095,15.35,15.35,0.5,0.2305,0.05000935018725
1H7,1.0,0.4326214455,FAUC,0.5760000000000001,48.9095,15.56,15.56,0.5,0.28800000000000003,0.124594976304
1H7,1.0,0.2169603045,FAUC,0.518,48.9095,15.63,15.63,0.5,0.259,0.0561927188655
1H7,1.0,0.4326214455,FAUC,0.8059999999999999,48.9095,15.64,15.64,0.5,0.40299999999999997,0.17434644253649997
1H7,1.0,0.6495817500000001,FAUC,0.23,48.9095,15.8,15.8,0.5,0.115,0.07470190125000001
1H7,1.0,0.4326214455,FAUC,0.49,48.9095,16.24,16.24,0.5,0.245,0.10599225414749999
1H7,1.0,0.2169603045,FAUC,1.267,48.9095,17.13,17.13,0.5,0.6335,0.13744435290075
1H7,1.0,0.4326214455,FAUC,0.72,48.9095,17.28,17.28,0.5,0.36,0.15574372037999998
1H7,1.0,0.2169603045,FAUC,0.518,48.9095,17.62,17.62,0.5,0.259,0.0561927188655
1H7,1.0,0.2169603045,FAUC,0.979,48.9095,17.63,17.63,0.5,0.4895,0.10620206905275
1H7,1.0,6.2788571955000005,FAUC,0.687,48.9095,21.67,21.67,0.5,0.3435,2.1567874466542505
1H7,1.0,0.2169603045,FAUC,0.461,48.9095,21.78,21.78,0.5,0.2305,0.05000935018725
1H7,1.0,0.8665420545000001,FAUC,0.763,48.9095,21.79,21.79,0.5,0.3815,0.33058579379175007
1H7,1.0,0.4326214455,FAUC,0.518,48.9095,21.82,21.82,0.5,0.259,0.1120489543845
1H7,1.0,0.2169603045,FAUC,0.461,48.9095,21.86,21.86,0.5,0.2305,0.05000935018725
2D7,2.0,3.0634275330000005,FAUC,1.056,48.9325,24.59,0.59,0.5,0.528,1.6174897374240003
2D7,2.0,7.147997577000003,SHWR,1.233,48.9325,32.91,8.91,0.8486396488439855,1.0463726870246342,7.479469431491067
2D7,2.0,3.2336179515000003,FAUC,1.061,48.9325,33.29,9.29,0.5,0.5305,1.71543432327075
2D7,2.0,2.7230466960000004,FAUC,1.069,48.9325,33.43,9.43,0.5,0.5345,1.4554684590120002
2D7,2.0,0.17019041850000002,FAUC,0.34600000000000003,48.9325,33.78,9.78,0.5,0.17300000000000001,0.029442942400500008
2D7,2.0,0.34038083700000005,FAUC,0.49,48.9325,33.79,9.79,0.5,0.245,0.083393305065
2D7,2.0,1.8720946035,FAUC,0.728,48.9325,34.35,10.35,0.5,0.364,0.681442435674
2D7,2.0,0.34038083700000005,FAUC,0.605,48.9325,34.46,10.46,0.5,0.3025,0.10296520319250001
2D7,2.0,0.17019041850000002,FAUC,0.8059999999999999,48.9325,34.47,10.47,0.5,0.40299999999999997,0.06858673865550001
2D7,2.0,0.5105712554999999,FAUC,0.518,48.9325,34.55,10.55,0.5,0.259,0.1322379551745
2D7,2.0,0.17019041850000002,FAUC,0.518,48.9325,34.85,10.85,0.5,0.259,0.044079318391500005
2D7,2.0,1.0211425109999999,FAUC,0.893,48.9325,34.86,10.86,0.5,0.4465,0.45594013116149995
2D7,2.0,0.17019041850000002,FAUC,0.7490000000000001,48.9325,35.06,11.06,0.5,0.37450000000000006,0.06373631172825002
2D7,2.0,0.6807616740000001,FAUC,0.778,48.9325,35.28,11.28,0.5,0.389,0.26481629118600003
2D7,2.0,0.5105712554999999,FAUC,0.614,48.9325,35.82,11.82,0.5,0.307,0.15674537543849998
2D7,2.0,1.3615233480000002,FAUC,0.569,48.9325,35.94,11.94,0.5,0.2845,0.38735339250600004
2D7,2.0,3.0634275330000005,FAUC,1.101,48.9325,36.9,12.9,0.5,0.5505,1.6864168569165003
2D7,2.0,10.553105110499999,SHWR,1.237,48.9325,38.3,14.3,0.8486396488439855,1.04976724562001,11.078304084588035
2D7,2.0,0.34038083700000005,FAUC,0.374,48.9325,40.84,16.84,0.5,0.187,0.063651216519
2D7,2.0,4.7653317180000005,SHWR,1.881,48.9325,40.93,16.93,0.8486396488439855,1.5962911794755366,7.606856988718405
2D7,2.0,0.34038083700000005,FAUC,0.778,48.9325,41.02,17.02,0.5,0.389,0.13240814559300002
2D7,2.0,0.17019041850000002,FAUC,0.461,48.9325,41.41,17.41,0.5,0.2305,0.03922889146425001
2D7,2.0,0.17019041850000002,FAUC,0.461,48.9325,41.5,17.5,0.5,0.2305,0.03922889146425001
2D7,2.0,0.17019041850000002,FAUC,0.518,48.9325,41.53,17.53,0.5,0.259,0.044079318391500005
2D7,2.0,0.17019041850000002,FAUC,0.461,48.9325,41.64,17.64,0.5,0.2305,0.03922889146425001
2D7,2.0,0.8509520925000001,FAUC,0.599,48.9325,41.7,17.7,0.5,0.2995,0.25486015170375004
2D7,2.0,0.8509520925000001,FAUC,0.6679999999999999,48.9325,41.74,17.74,0.5,0.33399999999999996,0.284217998895
2D7,2.0,3.0634275330000005,FAUC,1.117,48.9325,41.78,17.78,0.5,0.5585,1.7109242771805002
2D7,2.0,0.17019041850000002,FAUC,0.28800000000000003,48.9325,41.88,17.88,0.5,0.14400000000000002,0.024507420264000008
2D7,2.0,0.34038083700000005,FAUC,0.8640000000000001,48.9325,41.88,17.88,0.5,0.43200000000000005,0.14704452158400003
2D7,2.0,0.17019041850000002,FAUC,0.7490000000000001,48.9325,42.62000000000001,18.62,0.5,0.37450000000000006,0.06373631172825002
2D7,2.0,0.34038083700000005,FAUC,0.95,48.9325,42.64,18.64,0.5,0.475,0.161680897575
2D7,2.0,0.34038083700000005,FAUC,0.922,48.9325,42.68,18.68,0.5,0.461,0.15691556585700003
2D7,2.0,0.6807616740000001,FAUC,0.7340000000000001,48.9325,42.69,18.69,0.5,0.36700000000000005,0.24983953435800008
2D7,2.0,1.0211425109999999,FAUC,0.624,48.9325,42.71,18.71,0.5,0.312,0.31859646343199993
