Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H7,1.0,0.2169603045,FAUC,0.518,58.683,6.92,6.92,0.5,0.259,0.0561927188655
1H7,1.0,1.0822031955,FAUC,1.521,58.683,7.27,7.27,0.5,0.7605,0.82301553017775
1H7,1.0,0.2169603045,FAUC,0.34600000000000003,58.683,7.91,7.91,0.5,0.17300000000000001,0.037534132678500004
1H7,1.0,3.4648690545000003,FAUC,1.577,58.683,7.92,7.92,0.5,0.7885,2.73204924947325
1H7,1.0,0.2169603045,FAUC,0.922,58.683,7.98,7.98,0.5,0.461,0.1000187003745
1H7,1.0,0.2169603045,FAUC,0.922,58.683,7.98,7.98,0.5,0.461,0.1000187003745
1H7,1.0,0.2169603045,FAUC,0.634,58.683,8.0,8.0,0.5,0.317,0.0687764165265
1H7,1.0,0.2169603045,FAUC,0.518,58.683,8.02,8.02,0.5,0.259,0.0561927188655
1H7,1.0,0.2169603045,FAUC,0.979,58.683,8.02,8.02,0.5,0.4895,0.10620206905275
1H7,1.0,0.4326214455,FAUC,0.7490000000000001,58.683,8.07,8.07,0.5,0.37450000000000006,0.16201673133975
1H7,1.0,0.4326214455,FAUC,0.8059999999999999,58.683,8.08,8.08,0.5,0.40299999999999997,0.17434644253649997
1H7,1.0,0.2169603045,FAUC,0.634,58.683,8.27,8.27,0.5,0.317,0.0687764165265
1H7,1.0,2.5983270000000003,FAUC,0.461,58.683,8.79,8.79,0.5,0.2305,0.5989143735000001
1H7,1.0,1.0822031955,FAUC,0.588,58.683,8.83,8.83,0.5,0.294,0.318167739477
1H7,1.0,0.4326214455,FAUC,0.49,58.683,8.87,8.87,0.5,0.245,0.10599225414749999
1H7,1.0,6.76599,CWSH,1.922,58.683,9.37,9.37,0.22,0.42284,2.8609312116
1H7,1.0,9.810989999999999,CWSH,1.291,58.683,9.72,9.72,0.22,0.28402,2.7865173797999994
1H7,1.0,0.4326214455,FAUC,0.72,58.683,9.76,9.76,0.5,0.36,0.15574372037999998
1H7,1.0,0.6759899999999999,CWSH,37.95,58.683,9.93,9.93,0.22,8.349,5.643840509999999
1H7,1.0,0.4326214455,FAUC,1.642,58.683,9.94,9.94,0.5,0.821,0.35518220675549994
1H7,1.0,0.4326214455,FAUC,0.662,58.683,9.97,9.97,0.5,0.331,0.1431976984605
1H7,1.0,0.2169603045,FAUC,0.979,58.683,9.98,9.98,0.5,0.4895,0.10620206905275
1H7,1.0,8.12,CWSH,1.565,58.683,10.11,10.11,0.22,0.3443,2.7957159999999996
1H7,1.0,0.4326214455,FAUC,0.7490000000000001,58.683,10.21,10.21,0.5,0.37450000000000006,0.16201673133975
1H7,1.0,0.6759899999999999,CWSH,0.85,58.683,10.45,10.45,0.22,0.187,0.12641012999999998
1H7,1.0,11.165,CWSH,1.11,58.683,10.52,10.52,0.22,0.24420000000000003,2.726493
1H7,1.0,0.2169603045,FAUC,0.34600000000000003,58.683,11.18,11.18,0.5,0.17300000000000001,0.037534132678500004
1H7,1.0,0.2169603045,FAUC,0.691,58.683,14.06,14.06,0.5,0.3455,0.07495978520475
1H7,1.0,2.1657055544999997,FAUC,1.636,58.683,14.08,14.08,0.5,0.818,1.7715471435809997
1H7,1.0,1.2991635,FAUC,0.902,58.683,14.26,14.26,0.5,0.451,0.5859227385
1H7,1.0,1.5161238045000005,FAUC,1.621,58.683,15.07,15.07,0.5,0.8105,1.2288183435472504
1H7,1.0,1.2991635,FAUC,1.354,58.683,15.27,15.27,0.5,0.677,0.8795336895
1H7,1.0,0.4326214455,FAUC,1.642,58.683,15.31,15.31,0.5,0.821,0.35518220675549994
1H7,1.0,0.6495817500000001,FAUC,0.979,58.683,15.34,15.34,0.5,0.4895,0.31797026662500005
1H7,1.0,0.2169603045,FAUC,0.461,58.683,15.35,15.35,0.5,0.2305,0.05000935018725
1H7,1.0,0.4326214455,FAUC,0.5760000000000001,58.683,15.56,15.56,0.5,0.28800000000000003,0.124594976304
1H7,1.0,0.2169603045,FAUC,0.518,58.683,15.63,15.63,0.5,0.259,0.0561927188655
1H7,1.0,0.4326214455,FAUC,0.8059999999999999,58.683,15.64,15.64,0.5,0.40299999999999997,0.17434644253649997
1H7,1.0,0.6495817500000001,FAUC,0.23,58.683,15.8,15.8,0.5,0.115,0.07470190125000001
1H7,1.0,0.4326214455,FAUC,0.49,58.683,16.24,16.24,0.5,0.245,0.10599225414749999
1H7,1.0,0.2169603045,FAUC,1.267,58.683,17.13,17.13,0.5,0.6335,0.13744435290075
1H7,1.0,0.4326214455,FAUC,0.72,58.683,17.28,17.28,0.5,0.36,0.15574372037999998
1H7,1.0,0.2169603045,FAUC,0.518,58.683,17.62,17.62,0.5,0.259,0.0561927188655
1H7,1.0,0.2169603045,FAUC,0.979,58.683,17.63,17.63,0.5,0.4895,0.10620206905275
1H7,1.0,6.2788571955000005,FAUC,0.687,58.683,21.67,21.67,0.5,0.3435,2.1567874466542505
