Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
6H0,1.0,1.160482125,FAUC,0.938,54.263999999999996,0.34,0.34,0.5,0.469,0.5442661166249999
6H0,1.0,0.16540205000000002,FAUC,0.691,54.263999999999996,0.37,0.37,0.5,0.3455,0.057146408275000005
6H0,1.0,0.4975400375,FAUC,0.595,54.263999999999996,0.38,0.38,0.5,0.2975,0.14801816115625
6H0,1.0,0.3321379875,FAUC,0.8059999999999999,54.263999999999996,0.55,0.55,0.5,0.40299999999999997,0.1338516089625
6H0,1.0,0.4975400375,FAUC,0.787,54.263999999999996,0.58,0.58,0.5,0.3935,0.19578200475625
6H0,1.0,0.3321379875,FAUC,0.34600000000000003,54.263999999999996,0.71,0.71,0.5,0.17300000000000001,0.05745987183750001
6H0,1.0,0.16540205000000002,FAUC,0.922,54.263999999999996,7.56,7.56,0.5,0.461,0.07625034505000002
6H0,1.0,0.16540205000000002,FAUC,0.691,54.263999999999996,7.84,7.84,0.5,0.3455,0.057146408275000005
6H0,1.0,0.3321379875,FAUC,0.72,54.263999999999996,8.75,8.75,0.5,0.36,0.1195696755
6H0,1.0,0.16540205000000002,FAUC,1.267,54.263999999999996,11.0,11.0,0.5,0.6335,0.10478219867500001
6H0,1.0,0.16540205000000002,FAUC,0.518,54.263999999999996,11.92,11.92,0.5,0.259,0.042839130950000005
6H0,1.0,0.3321379875,FAUC,1.0659999999999998,54.263999999999996,12.86,12.86,0.5,0.5329999999999999,0.17702954733749998
6H0,1.0,0.16540205000000002,FAUC,0.518,54.263999999999996,12.95,12.95,0.5,0.259,0.042839130950000005
6H0,1.0,0.16540205000000002,FAUC,0.518,54.263999999999996,13.13,13.13,0.5,0.259,0.042839130950000005
6H0,1.0,0.3321379875,FAUC,1.0659999999999998,54.263999999999996,13.36,13.36,0.5,0.5329999999999999,0.17702954733749998
6H0,1.0,0.4975400375,FAUC,0.653,54.263999999999996,13.54,13.54,0.5,0.3265,0.16244682224375
6H0,1.0,0.3321379875,FAUC,0.634,54.263999999999996,13.56,13.56,0.5,0.317,0.1052877420375
6H0,1.0,9.95080075,SHWR,1.761,54.263999999999996,13.62,13.62,0.8353530031612223,1.4710566385669124,14.638191502344112
6H0,1.0,0.3321379875,FAUC,0.34600000000000003,54.263999999999996,13.85,13.85,0.5,0.17300000000000001,0.05745987183750001
6H0,1.0,0.3321379875,FAUC,0.691,54.263999999999996,13.86,13.86,0.5,0.3455,0.11475367468125
6H0,1.0,0.3321379875,FAUC,0.461,54.263999999999996,13.88,13.88,0.5,0.2305,0.07655780611875
6H0,1.0,0.16540205000000002,FAUC,0.518,54.263999999999996,13.89,13.89,0.5,0.259,0.042839130950000005
6H0,1.0,0.4975400375,FAUC,0.595,54.263999999999996,13.9,13.9,0.5,0.2975,0.14801816115625
